Admin2;Province_State;Country_Region;Last_Update;Lat;Long_;Confirmed;Deaths;Recovered;Active;Combined_Key;Incidence_Rate;Case-Fatality_Ratio;ID
Arapahoe;Colorado;US;26/07/2020 04:35;39.64977461;-104.3353617;6470;360;0;6110;Arapahoe, Colorado, US;985.3942338;5.564142195;
Archer;Texas;US;26/07/2020 04:35;33.61569967;-98.68754589;15;0;0;15;Archer, Texas, US;175.3770607;0;
Archuleta;Colorado;US;26/07/2020 04:35;37.19474156;-107.0476867;25;0;0;25;Archuleta, Colorado, US;178.2022952;0;
Arecibo;Puerto Rico;US;26/07/2020 04:35;18.406631;-66.675077;224;0;0;224;Arecibo, Puerto Rico, US;232.2687681;0;
Arenac;Michigan;US;26/07/2020 04:35;44.0636262;-83.89277559;40;2;0;38;Arenac, Michigan, US;268.7630182;5;
Arkansas;Arkansas;US;26/07/2020 04:35;34.29145151;-91.37277296;168;1;0;167;Arkansas, Arkansas, US;960.7686149;0.595238095;
Arlington;Virginia;US;26/07/2020 04:35;38.8767675;-77.10139853;2801;135;0;2666;Arlington, Virginia, US;1182.64497;4.819707247;
Armstrong;Pennsylvania;US;26/07/2020 04:35;40.81665618;-79.46290811;151;6;0;145;Armstrong, Pennsylvania, US;233.25867;3.973509934;
Armstrong;Texas;US;26/07/2020 04:35;34.96507426;-101.3574874;4;0;0;4;Armstrong, Texas, US;211.9766826;0;
Aroostook;Maine;US;26/07/2020 04:35;46.65926321;-68.59841248;31;1;0;30;Aroostook, Maine, US;46.23070614;3.225806452;
Arroyo;Puerto Rico;US;26/07/2020 04:35;17.998457;-66.056546;68;0;0;68;Arroyo, Puerto Rico, US;347.3818646;0;
Arthur;Nebraska;US;26/07/2020 04:35;41.56896142;-101.6959559;0;0;0;0;Arthur, Nebraska, US;0;;
Ascension;Louisiana;US;26/07/2020 04:35;30.20406249;-90.9132841;2175;65;0;2110;Ascension, Louisiana, US;1717.955199;2.988505747;
Ashe;North Carolina;US;26/07/2020 04:35;36.43296207;-81.49862729;86;1;0;85;Ashe, North Carolina, US;316.141602;1.162790698;
Ashland;Ohio;US;26/07/2020 04:35;40.84772277;-82.27280781;113;4;0;109;Ashland, Ohio, US;211.2781393;3.539823009;
Ashland;Wisconsin;US;26/07/2020 04:35;46.31956891;-90.67837132;14;0;0;14;Ashland, Wisconsin, US;89.96272973;0;
Ashley;Arkansas;US;26/07/2020 04:35;33.19153461;-91.7698471;172;4;0;168;Ashley, Arkansas, US;875.0063591;2.325581395;
Ashtabula;Ohio;US;26/07/2020 04:35;41.70860332;-80.74830218;507;44;0;463;Ashtabula, Ohio, US;521.3850125;8.678500986;
Asotin;Washington;US;26/07/2020 04:35;46.18894415;-117.2022851;22;2;0;20;Asotin, Washington, US;97.42272607;9.090909091;
Assumption;Louisiana;US;26/07/2020 04:35;29.89946234;-91.06461642;484;18;0;466;Assumption, Louisiana, US;2210.954273;3.719008264;
Atascosa;Texas;US;26/07/2020 04:35;28.89333001;-98.52730485;393;3;0;390;Atascosa, Texas, US;768.2833851;0.763358779;
Atchison;Kansas;US;26/07/2020 04:35;39.53185661;-95.30870026;56;0;0;56;Atchison, Kansas, US;348.4103777;0;
Atchison;Missouri;US;26/07/2020 04:35;40.43238737;-95.42970639;13;0;0;13;Atchison, Missouri, US;252.7707564;0;
Athens;Ohio;US;26/07/2020 04:35;39.33425634;-82.04278644;315;1;0;314;Athens, Ohio, US;482.1896;0.317460317;
Atkinson;Georgia;US;26/07/2020 04:35;31.29633502;-82.87545866;264;2;0;262;Atkinson, Georgia, US;3233.312921;0.757575758;
Atlantic;New Jersey;US;26/07/2020 04:35;39.47538693;-74.65848483;3222;240;0;2982;Atlantic, New Jersey, US;1221.982023;7.448789572;
Atoka;Oklahoma;US;26/07/2020 04:35;34.37366573;-96.03802487;55;0;0;55;Atoka, Oklahoma, US;399.7674081;0;
Attala;Mississippi;US;26/07/2020 04:35;33.08658803;-89.57838564;456;23;0;433;Attala, Mississippi, US;2509.078904;5.043859649;
Audrain;Missouri;US;26/07/2020 04:35;39.215877;-91.84242683;181;1;0;180;Audrain, Missouri, US;712.935245;0.552486188;
Audubon;Iowa;US;26/07/2020 04:35;41.6844628;-94.90581859;26;1;0;25;Audubon, Iowa, US;473.0713246;3.846153846;
Auglaize;Ohio;US;26/07/2020 04:35;40.55998859;-84.2242143;165;5;0;160;Auglaize, Ohio, US;361.3982828;3.03030303;
Augusta;Virginia;US;26/07/2020 04:35;38.16404586;-79.12461614;238;3;0;235;Augusta, Virginia, US;314.9898092;1.260504202;
Aurora;South Dakota;US;26/07/2020 04:35;43.71757685;-98.56050467;37;0;0;37;Aurora, South Dakota, US;1344.965467;0;
Austin;Texas;US;26/07/2020 04:35;29.88548725;-96.27736949;181;0;0;181;Austin, Texas, US;602.6904635;0;
Autauga;Alabama;US;26/07/2020 04:35;32.53952745;-86.64408227;900;20;0;880;Autauga, Alabama, US;1610.911239;2.222222222;
Avery;North Carolina;US;26/07/2020 04:35;36.07569796;-81.92308483;66;0;0;66;Avery, North Carolina, US;375.9184371;0;
Avoyelles;Louisiana;US;26/07/2020 04:35;31.07796211;-92.00079449;781;23;0;758;Avoyelles, Louisiana, US;1945.496214;2.944942382;
Baca;Colorado;US;26/07/2020 04:35;37.31940883;-102.5603223;14;0;0;14;Baca, Colorado, US;390.952248;0;
Bacon;Georgia;US;26/07/2020 04:35;31.55456473;-82.45936528;378;5;0;373;Bacon, Georgia, US;3385.883196;1.322751323;
Bailey;Texas;US;26/07/2020 04:35;34.06854817;-102.8299707;132;3;0;129;Bailey, Texas, US;1885.714286;2.272727273;
Baker;Florida;US;26/07/2020 04:35;30.33060121;-82.28467476;285;4;0;281;Baker, Florida, US;975.6932557;1.403508772;
