Cod_IBGE;Grande regiao;Municipio;Mun_Total de casos;Mun_Total de obitos
3511904;Interior;Clementina;47;0
3512001;Interior;Colina;107;8
3512100;Interior;Colômbia;31;1
3512209;Interior;Conchal;174;4
3512308;Interior;Conchas;128;5
3512407;Interior;Cordeirópolis;780;10
3512506;Interior;Coroados;44;2
3512605;Interior;Coronel Macedo;1;1
3512704;Interior;Corumbataí;52;1
3512803;Interior;Cosmópolis;677;12
3512902;Interior;Cosmorama;110;3
3513009;RMSP (exceto capital);Cotia;2282;126
3513108;Interior;Cravinhos;151;14
3513207;Interior;Cristais Paulista;13;0
3513306;Interior;Cruzália;1;0
3513405;Interior;Cruzeiro;196;8
3513504;Interior;Cubatão;4253;156
3513603;Interior;Cunha;31;0
3513702;Interior;Descalvado;94;3
3513801;RMSP (exceto capital);Diadema;5439;246
3513850;Interior;Dirce Reis;7;0
3513900;Interior;Divinolândia;40;2
3514007;Interior;Dobrada;23;0
3514106;Interior;Dois Córregos;39;3
3514205;Interior;Dolcinópolis;48;2
3514304;Interior;Dourado;34;0
3514403;Interior;Dracena;242;8
3514502;Interior;Duartina;74;1
3514601;Interior;Dumont;152;1
3514700;Interior;Echaporã;14;1
3514809;Interior;Eldorado;135;3
3514908;Interior;Elias Fausto;166;4
3514924;Interior;Elisiário;34;0
3514957;Interior;Embaúba;25;1
3515004;RMSP (exceto capital);Embu das Artes;2111;126
3515103;RMSP (exceto capital);Embu-Guaçu;631;19
3515129;Interior;Emilianópolis;30;2
3515152;Interior;Engenheiro Coelho;290;9
3515186;Interior;Espírito Santo do Pinhal;190;3
3515194;Interior;Espírito Santo do Turvo;18;0
3515202;Interior;Estrela d'Oeste;216;6
3515301;Interior;Estrela do Norte;9;0
3515350;Interior;Euclides da Cunha Paulista;16;2
3515400;Interior;Fartura;41;1
3515509;Interior;Fernandópolis;1063;17
3515608;Interior;Fernando Prestes;42;2
3515657;Interior;Fernão;5;0
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;1559;90
3515806;Interior;Flora Rica;5;0
3515905;Interior;Floreal;23;1
3516002;Interior;Flórida Paulista;39;1
3516200;Interior;Franca;799;29
3516309;RMSP (exceto capital);Francisco Morato;1723;66
3516408;RMSP (exceto capital);Franco da Rocha;1289;85
3516507;Interior;Gabriel Monteiro;16;2
3516606;Interior;Gália;13;0
3516705;Interior;Garça;87;1
3516804;Interior;Gastão Vidigal;72;10
3516853;Interior;Gavião Peixoto;50;0
3516903;Interior;General Salgado;115;2
3517000;Interior;Getulina;114;0
3517109;Interior;Glicério;23;0
3517208;Interior;Guaiçara;220;2
3517307;Interior;Guaimbê;19;1
3517406;Interior;Guaíra;343;7
3517505;Interior;Guapiaçu;232;14
3517604;Interior;Guapiara;59;7
3517703;Interior;Guará;66;1
3517802;Interior;Guaraçaí;17;0
3517901;Interior;Guaraci;15;0
3518008;Interior;Guarani d'Oeste;27;0
3518107;Interior;Guarantã;53;0
3518206;Interior;Guararapes;294;2
3518305;RMSP (exceto capital);Guararema;224;14
3518404;Interior;Guaratinguetá;334;19
3518503;Interior;Guareí;193;1
3518602;Interior;Guariba;584;17
3518701;Interior;Guarujá;4638;197
3518800;RMSP (exceto capital);Guarulhos;12023;1069
3518859;Interior;Guatapará;18;0
3518909;Interior;Guzolândia;23;1
3519006;Interior;Herculândia;43;2
3519055;Interior;Holambra;105;0
3519071;Interior;Hortolândia;3202;66
3519105;Interior;Iacanga;104;0
3519204;Interior;Iacri;8;0
3519253;Interior;Iaras;13;1
3519303;Interior;Ibaté;162;1
3519402;Interior;Ibirá;146;4
3519501;Interior;Ibirarema;69;0
3519600;Interior;Ibitinga;389;15
3519709;Interior;Ibiúna;248;14
3519808;Interior;Icém;28;1
3519907;Interior;Iepê;5;1
3520004;Interior;Igaraçu do Tietê;154;2
3520103;Interior;Igarapava;159;3
3520202;Interior;Igaratá;299;6
3520301;Interior;Iguape;244;4
3520400;Interior;Ilhabela;695;8
3520426;Interior;Ilha Comprida;70;4
3520442;Interior;Ilha Solteira;63;1
3520509;Interior;Indaiatuba;1327;81
3520608;Interior;Indiana;55;0
3520707;Interior;Indiaporã;17;0
3520806;Interior;Inúbia Paulista;5;0
3520905;Interior;Ipaussu;128;0
3521002;Interior;Iperó;116;0
3521101;Interior;Ipeúna;57;0
3521150;Interior;Ipiguá;81;4
3521200;Interior;Iporanga;10;0
3521309;Interior;Ipuã;234;5
3521408;Interior;Iracemápolis;545;9
3521507;Interior;Irapuã;38;0
3521606;Interior;Irapuru;37;1
3521705;Interior;Itaberá;53;0
3521804;Interior;Itaí;44;0
3521903;Interior;Itajobi;177;6
3522000;Interior;Itaju;40;0
3522109;Interior;Itanhaém;519;38
3522158;Interior;Itaoca;15;0
3522208;RMSP (exceto capital);Itapecerica da Serra;1582;119
3522307;Interior;Itapetininga;656;30
3522406;Interior;Itapeva;190;5
3522505;RMSP (exceto capital);Itapevi;2048;181
3522604;Interior;Itapira;425;15
3522653;Interior;Itapirapuã Paulista;33;1
3522703;Interior;Itápolis;135;4
3522802;Interior;Itaporanga;60;1
3522901;Interior;Itapuí;109;2
3523008;Interior;Itapura;27;1
3523107;RMSP (exceto capital);Itaquaquecetuba;2580;193
3523206;Interior;Itararé;102;3
3523305;Interior;Itariri;152;4
3523404;Interior;Itatiba;448;11
3523503;Interior;Itatinga;175;5
3523602;Interior;Itirapina;87;3
3523701;Interior;Itirapuã;5;1
3523800;Interior;Itobi;102;0
3523909;Interior;Itu;1531;49
3524006;Interior;Itupeva;918;24
3524105;Interior;Ituverava;93;1
3524204;Interior;Jaborandi;71;1
3524303;Interior;Jaboticabal;179;15
3524402;Interior;Jacareí;1579;63
3524501;Interior;Jaci;149;2
3524600;Interior;Jacupiranga;218;5
3524709;Interior;Jaguariúna;372;11
3524808;Interior;Jales;451;5
3524907;Interior;Jambeiro;37;1
3525003;RMSP (exceto capital);Jandira;884;54
3525102;Interior;Jardinópolis;246;17
3525201;Interior;Jarinu;247;19
3525300;Interior;Jaú;913;25
3525409;Interior;Jeriquara;8;0
3525508;Interior;Joanópolis;45;0
3525607;Interior;João Ramalho;21;1
3525706;Interior;José Bonifácio;438;10
3525805;Interior;Júlio Mesquita;11;1
3525854;Interior;Jumirim;20;0
3525904;Interior;Jundiaí;6784;293
3526001;Interior;Junqueirópolis;78;2
3526100;Interior;Juquiá;146;2
3526209;RMSP (exceto capital);Juquitiba;210;7
3526308;Interior;Lagoinha;6;0
3526407;Interior;Laranjal Paulista;226;5
3526506;Interior;Lavínia;22;0
3526605;Interior;Lavrinhas;15;1
3526704;Interior;Leme;1229;33
3526803;Interior;Lençóis Paulista;1736;33
3526902;Interior;Limeira;2265;124
